"BehaviorSpace results (NetLogo 6.3.0)"
"GROUP4-INTP4.nlogo"
"exp2a"
"04/09/2023 19:20:36:707 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","british_supplies","japanese-resupply-rate","japanese_supplies","disable-hunger-penalties","[step]","britain-casualties-hunger","britain-casualties-combat","japan-casualties-hunger","japan-casualties-combat","control-imphal","control-kohima","ticks"
"11","100","0","0","false","42","0","3321","26231","1288","Britain","Britain","43"
"6","100","0","0","false","42","0","3010","26315","986","Britain","Britain","43"
"7","100","0","0","false","49","0","3286","29780","1067","Britain","Britain","50"
"14","100","0","0","false","42","0","2971","26267","1172","Britain","Britain","43"
"12","100","0","0","false","51","0","3128","30734","1189","Britain","Britain","52"
"16","100","0","0","false","51","0","3091","30813","966","Britain","Britain","52"
"3","100","0","0","false","42","0","3092","26350","933","Britain","Britain","43"
"5","100","0","0","false","42","0","3152","26132","1557","Britain","Britain","43"
"15","100","0","0","false","52","0","3133","31136","1438","Britain","Britain","53"
"10","100","0","0","false","43","0","3451","26824","937","Britain","Britain","44"
"4","100","0","0","false","52","0","3238","31242","1128","Britain","Britain","53"
"2","100","0","0","false","42","0","3054","26216","1326","Britain","Britain","43"
"17","100","0","0","false","42","0","3328","26278","1107","Britain","Britain","43"
"13","100","0","0","false","50","0","3148","30301","984","Britain","Britain","51"
"1","100","0","0","false","42","0","3157","26288","1066","Britain","Britain","43"
"8","100","0","0","false","52","0","3222","31334","858","Britain","Britain","53"
"9","100","0","0","false","68","0","3338","37824","1952","Britain","Britain","69"
"18","100","0","0","false","50","0","3201","30295","989","Britain","Britain","51"
"19","100","0","0","false","47","0","3229","28678","1395","Britain","Britain","48"
"20","100","0","0","false","52","0","3207","31150","1454","Britain","Britain","53"
"21","100","0","0","false","52","0","3134","31239","1155","Britain","Britain","53"
"22","100","0","0","false","53","0","3336","31684","1306","Britain","Britain","54"
