"BehaviorSpace results (NetLogo 6.3.0)"
"GROUP4-INTP4.nlogo"
"exp3"
"04/09/2023 19:29:21:528 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","british_supplies","japanese-resupply-rate","japanese_supplies","disable-hunger-penalties","[step]","britain-casualties-hunger","britain-casualties-combat","japan-casualties-hunger","japan-casualties-combat","control-imphal","control-kohima","ticks"
"7","100","0","0","false","42","0","3184","26288","1088","Britain","Britain","43"
"11","100","0","1","false","43","0","4030","26379","769","Britain","Britain","44"
"9","100","0","0","false","42","0","3199","26315","1019","Britain","Britain","43"
"5","100","0","0","false","50","0","3464","30234","1223","Britain","Britain","51"
"14","100","0","1","false","50","0","3717","29648","1336","Britain","Britain","51"
"1","100","0","0","false","52","0","3167","31187","1375","Britain","Britain","53"
"15","100","0","1","false","51","0","3411","30193","1376","Britain","Britain","52"
"13","100","0","1","false","52","0","3794","30797","973","Britain","Britain","53"
"12","100","0","1","false","52","0","3791","30748","1156","Britain","Britain","53"
"16","100","0","1","false","43","0","3739","26265","1131","Britain","Britain","44"
"6","100","0","0","false","51","0","3507","30792","1012","Britain","Britain","52"
"8","100","0","0","false","60","0","2974","34653","1586","Britain","Britain","61"
"10","100","0","0","false","51","0","3127","30763","1125","Britain","Britain","52"
"3","100","0","0","false","50","0","3294","30293","1022","Britain","Britain","51"
"4","100","0","0","false","52","0","3169","31154","1370","Britain","Britain","53"
"2","100","0","0","false","52","0","3110","31267","1041","Britain","Britain","53"
"17","100","0","1","false","43","0","3919","26207","997","Britain","Britain","44"
"18","100","0","1","false","53","0","4060","31229","1102","Britain","Britain","54"
"20","100","0","1","false","51","0","3718","30287","1032","Britain","Britain","52"
"21","100","0","2","false","53","0","4598","30611","1500","Britain","Britain","54"
"19","100","0","1","false","50","0","3671","29729","1169","Britain","Britain","51"
"22","100","0","2","false","53","0","4685","30488","1861","Britain","Britain","54"
"25","100","0","2","false","45","0","4751","26691","1164","Britain","Britain","46"
"24","100","0","2","false","53","0","4839","30710","1212","Britain","Britain","54"
"26","100","0","2","false","53","0","4871","30716","1087","Britain","Britain","54"
"28","100","0","2","false","54","0","4613","31073","1513","Britain","Britain","55"
"23","100","0","2","false","60","0","4850","33686","1859","Britain","Britain","61"
"31","100","0","3","false","45","0","5143","26628","1337","Britain","Britain","46"
"27","100","0","2","false","54","0","5013","31078","1535","Britain","Britain","55"
"29","100","0","2","false","51","0","4474","29613","1387","Britain","Britain","52"
"30","100","0","2","false","45","0","4792","26735","867","Britain","Britain","46"
"32","100","0","3","false","61","0","5664","34191","1568","Britain","Britain","62"
"33","100","0","3","false","54","0","5306","31173","1345","Britain","Britain","55"
"36","100","0","3","false","45","0","5419","26770","1090","Britain","Britain","46"
"37","100","0","3","false","45","0","4914","26691","1127","Britain","Britain","46"
"34","100","0","3","false","54","0","5332","31068","1500","Britain","Britain","55"
"39","100","0","3","false","45","0","5509","26684","983","Britain","Britain","46"
"35","100","0","3","false","65","0","5556","35688","1916","Britain","Britain","66"
"42","100","0","4","false","46","0","5672","26632","1175","Britain","Britain","47"
"38","100","0","3","false","46","0","5232","27267","1071","Britain","Britain","47"
"41","100","0","4","false","55","0","5490","31074","1405","Britain","Britain","56"
"44","100","0","4","false","46","0","5657","26628","968","Britain","Britain","47"
"40","100","0","3","false","58","0","5396","32718","2258","Britain","Britain","59"
"49","100","0","4","false","46","0","5498","26481","1750","Britain","Britain","47"
"43","100","0","4","false","70","0","5483","37017","2628","Britain","Britain","71"
"45","100","0","4","false","62","0","5935","33935","1718","Britain","Britain","63"
"50","100","0","4","false","56","0","5594","31581","1420","Britain","Britain","57"
"52","100","0","5","false","56","0","6729","30606","2363","Britain","Britain","57"
"48","100","0","4","false","56","0","5759","31557","1505","Britain","Britain","57"
"46","100","0","4","false","65","0","6011","34863","3590","Britain","Britain","66"
"54","100","0","5","false","48","0","6780","27068","985","Britain","Britain","49"
"47","100","0","4","false","69","0","5945","36729","2264","Britain","Britain","70"
"55","100","0","5","false","64","0","7049","34384","2196","Britain","Britain","65"
"56","100","0","5","false","57","0","6548","31618","1613","Britain","Britain","58"
"53","100","0","5","false","64","0","7004","34129","2383","Britain","Britain","65"
"57","100","0","5","false","56","0","6603","31180","1174","Britain","Britain","57"
"51","100","0","5","false","75","0","7340","38475","2811","Britain","Britain","76"
"59","100","0","5","false","56","0","6551","30884","1662","Britain","Britain","57"
"60","100","0","5","false","54","0","6736","30089","1442","Britain","Britain","55"
"58","100","0","5","false","48","0","6719","26959","1508","Britain","Britain","49"
"63","100","0","6","false","49","0","7578","26364","1608","Britain","Britain","50"
"61","100","0","6","false","66","0","7854","33931","3030","Britain","Britain","67"
"62","100","0","6","false","58","0","7363","30784","2357","Britain","Britain","59"
"66","100","0","6","false","59","0","7537","31165","1900","Britain","Britain","60"
"69","100","0","6","false","49","0","7732","26617","1320","Britain","Britain","50"
"64","100","0","6","false","68","0","7861","34633","3044","Britain","Britain","69"
"65","100","0","6","false","58","0","7747","30734","1893","Britain","Britain","59"
"67","100","0","6","false","57","0","7090","30464","1468","Britain","Britain","58"
"68","100","0","6","false","58","0","7478","30666","2162","Britain","Britain","59"
"72","100","0","7","false","59","0","8016","30557","2248","Britain","Britain","60"
"71","100","0","7","false","58","0","8563","29847","2448","Britain","Britain","59"
